code | process | id | scheduler | title_code | order_code | client_code | client_name
TASK00018031 | QC | 18031 | jill.kuzma | TITLE01793 | ORDER00391 | CLIENT00007 | Warner Brothers
TASK00077426 | QC | 77426 | laura.szot | TITLE08030 | ORDER01597 | CLIENT00047 | Fremantle
TASK00056399 | Spot QC | 56399 | forest.robin | TITLE05664 | ORDER01043 | CLIENT00042 | 20th Century Fox
TASK00140101 | QC | 140101 | vilma.rubio | TITLE15401 | ORDER04291 | CLIENT00047 | Fremantle
TASK00090991 | QC NTSC DBC | 90991 | leanna.marsh | TITLE09630 | ORDER01914 | CLIENT00042 | 20th Century Fox
TASK00081803 | Spot Check | 81803 | michelle.holcombe | TITLE08494 | ORDER01689 | CLIENT00047 | Fremantle
TASK00081804 | Spot Check | 81804 | michelle.holcombe | TITLE08495 | ORDER01689 | CLIENT00047 | Fremantle
TASK00081805 | Spot Check | 81805 | michelle.holcombe | TITLE08496 | ORDER01689 | CLIENT00047 | Fremantle
TASK00081806 | Spot Check | 81806 | michelle.holcombe | TITLE08497 | ORDER01689 | CLIENT00047 | Fremantle
TASK00153464 | Spot QC | 153464 | adriana.amador | TITLE17740 | ORDER04581 | CLIENT00032 | Disney
TASK00038880 | QC | 38880 | emma.klein | TITLE03873 | ORDER00840 | CLIENT00047 | Fremantle
TASK00064964 | QC: SD SINGLE PASS | 64964 | jennifer.olvey | TITLE06616 | ORDER01375 | CLIENT00007 | Warner Brothers
TASK00104039 | Telenica1 QC Single pass | 104039 | chantal.beukman | TITLE11233 | ORDER02228 | CLIENT00007 | Warner Brothers
TASK00104031 | Telenica1 QC Single pass | 104031 | chantal.beukman | TITLE11232 | ORDER02228 | CLIENT00007 | Warner Brothers
TASK00022067 | Spot QC | 22067 | forest.robin | TITLE02070 | ORDER00479 | CLIENT00042 | 20th Century Fox
TASK00056520 | Spot QC | 56520 | forest.robin | TITLE05675 | ORDER01042 | CLIENT00042 | 20th Century Fox
TASK00046578 | Spot QC | 46578 | forest.robin | TITLE04677 | ORDER00974 | CLIENT00042 | 20th Century Fox
TASK00130858 | QC | 130858 | vilma.rubio | TITLE14730 | ORDER04124 | CLIENT00047 | Fremantle
TASK00130850 | QC | 130850 | vilma.rubio | TITLE14729 | ORDER04124 | CLIENT00047 | Fremantle
TASK00099320 | Spot QC CC Files | 99320 | leanna.marsh | TITLE10645 | ORDER01918 | CLIENT00042 | 20th Century Fox
TASK00109908 | Prequal | 109908 | laura.szot | TITLE08577 | ORDER01484 | CLIENT00047 | Fremantle
TASK00109907 | Prequal | 109907 | laura.szot | TITLE08549 | ORDER01484 | CLIENT00047 | Fremantle
TASK00026001 | QC | 26001 | jill.kuzma | TITLE02487 | ORDER00587 | CLIENT00007 | Warner Brothers
TASK00117578 | QC | 117578 | lisa.mcguire | TITLE12951 | ORDER03605 | CLIENT00047 | Fremantle
TASK00117570 | QC | 117570 | lisa.mcguire | TITLE12950 | ORDER03605 | CLIENT00047 | Fremantle
TASK00048146 | Spot QC | 48146 | forest.robin | TITLE04787 | ORDER00974 | CLIENT00042 | 20th Century Fox
TASK00036127 | Spot QC for TDS CC file | 36127 | johanna.mcgregor | TITLE03555 | ORDER00794 | CLIENT00042 | 20th Century Fox
TASK00036126 | Full Audio QC | 36126 | johanna.mcgregor | TITLE03555 | ORDER00794 | CLIENT00042 | 20th Century Fox
TASK00055232 | Spot QC | 55232 | celeste.noreen | TITLE05518 | ORDER01105 | CLIENT00042 | 20th Century Fox
TASK00138994 | QC | 138994 | vilma.rubio | TITLE15831 | ORDER04355 | CLIENT00047 | Fremantle
TASK00072627 | QC | 72627 | vilma.rubio | TITLE07501 | ORDER01526 | CLIENT00047 | Fremantle
TASK00035475 | QC | 35475 | jill.kuzma | TITLE03488 | ORDER00581 | CLIENT00007 | Warner Brothers
TASK00075902 | BQ Audio Spot QC | 75902 | celeste.noreen | TITLE07885 | ORDER01485 | CLIENT00042 | 20th Century Fox
TASK00075901 | BQ Video Spot QC | 75901 | celeste.noreen | TITLE07885 | ORDER01485 | CLIENT00042 | 20th Century Fox
TASK00068447 | QC | 68447 | michelle.holcombe | TITLE07015 | ORDER01449 | CLIENT00047 | Fremantle
TASK00138172 | spot QC | 138172 | vilma.rubio | TITLE15700 | ORDER04342 | CLIENT00047 | Fremantle
TASK00110747 | Amberfin QC | 110747 | chantal.beukman | TITLE12083 | ORDER02344 | CLIENT00007 | Warner Brothers
TASK00056608 | Spot QC | 56608 | forest.robin | TITLE05683 | ORDER01042 | CLIENT00042 | 20th Century Fox
TASK00059197 | QC | 59197 | vilma.rubio | TITLE05974 | ORDER01080 | CLIENT00047 | Fremantle
TASK00066628 | QC-Fix | 66628 | laura.szot | TITLE04250 | ORDER00898 | CLIENT00047 | Fremantle
TASK00141327 | Spot QC | 141327 | leanna.marsh | TITLE16128 | ORDER04396 | CLIENT00059 | ESPN
TASK00037556 | QC Spot Check | 37556 | emma.klein | TITLE03729 | ORDER00824 | CLIENT00047 | Fremantle
TASK00031363 | QC | 31363 | emma.klein | TITLE03032 | ORDER00689 | CLIENT00047 | Fremantle
TASK00054070 | Spot QC | 54070 | forest.robin | TITLE05410 | ORDER01053 | CLIENT00042 | 20th Century Fox
TASK00065287 | Spot QC Secondary Deliverables | 65287 | jennifer.olvey | TITLE06651 | ORDER01384 | CLIENT00007 | Warner Brothers
TASK00103571 | QC | 103571 | michelle.holcombe | TITLE11163 | ORDER02209 | CLIENT00047 | Fremantle
TASK00122069 | Spot QC | 122069 | johanna.mcgregor | TITLE13622 | ORDER03638 | CLIENT00042 | 20th Century Fox
TASK00006698 | SPOT QC | 6698 | rita.carreon | TITLE00670 | ORDER00148 | CLIENT00032 | Disney
TASK00071490 | QC program | 71490 | laura.szot | TITLE07387 | ORDER01497 | CLIENT00047 | Fremantle
TASK00069096 | QC | 69096 | michelle.holcombe | TITLE07106 | ORDER01457 | CLIENT00047 | Fremantle
TASK00050192 | QC | 50192 | laura.szot | TITLE04980 | ORDER01015 | CLIENT00047 | Fremantle
TASK00108424 | spot QC | 108424 | michelle.holcombe | TITLE11787 | ORDER02292 | CLIENT00047 | Fremantle
TASK00139026 | QC | 139026 | vilma.rubio | TITLE15835 | ORDER04355 | CLIENT00047 | Fremantle
TASK00121592 | Spot QC | 121592 | johanna.mcgregor | TITLE13550 | ORDER03616 | CLIENT00042 | 20th Century Fox
TASK00072498 | Spot QC | 72498 | celeste.noreen | TITLE07488 | ORDER01392 | CLIENT00042 | 20th Century Fox
TASK00133544 | QC Sequence Verification | 133544 | vilma.rubio | TITLE15091 | ORDER04225 | CLIENT00047 | Fremantle
TASK00021009 | Full Audio QC | 21009 | johanna.mcgregor | TITLE01926 | ORDER00428 | CLIENT00042 | 20th Century Fox
TASK00122740 | QC | 122740 | vilma.rubio | TITLE13711 | ORDER03666 | CLIENT00047 | Fremantle
TASK00059564 | Spot QC | 59564 | forest.robin | TITLE06000 | ORDER01219 | CLIENT00042 | 20th Century Fox
TASK00061200 | QC | 61200 | laura.szot | TITLE06178 | ORDER01212 | CLIENT00047 | Fremantle
TASK00065184 | QC | 65184 | michelle.holcombe | TITLE06640 | ORDER01382 | CLIENT00047 | Fremantle
TASK00058211 | QC | 58211 | michelle.holcombe | TITLE05861 | ORDER01152 | CLIENT00047 | Fremantle
TASK00142594 | Spot QC | 142594 | forest.robin | TITLE16290 | ORDER03602 | CLIENT00042 | 20th Century Fox
TASK00136515 | QC | 136515 | jill.kuzma | TITLE15461 | ORDER04320 | CLIENT00007 | Warner Brothers
TASK00044211 | QC | 44211 | emma.klein | TITLE04401 | ORDER00837 | CLIENT00047 | Fremantle
TASK00035017 | QC | 35017 | emma.klein | TITLE03444 | ORDER00764 | CLIENT00047 | Fremantle
TASK00105630 | Telenica1 QC Single pass | 105630 | chantal.beukman | TITLE11459 | ORDER02253 | CLIENT00007 | Warner Brothers
TASK00105638 | Telenica1 QC Single pass | 105638 | chantal.beukman | TITLE11460 | ORDER02253 | CLIENT00007 | Warner Brothers
TASK00039816 | Spot QC | 39816 | forest.robin | TITLE03983 | ORDER00854 | CLIENT00042 | 20th Century Fox
TASK00019712 | QC | 19712 | jill.kuzma | TITLE01903 | ORDER00430 | CLIENT00007 | Warner Brothers
TASK00092155 | BQ Video Spot QC | 92155 | forest.robin | TITLE09750 | ORDER01803 | CLIENT00042 | 20th Century Fox
TASK00109632 | Spot QC | 109632 | johanna.mcgregor | TITLE11941 | ORDER02320 | CLIENT00042 | 20th Century Fox
TASK00156289 | Spot QC | 156289 | adriana.amador | TITLE18041 | ORDER04655 | CLIENT00032 | Disney
TASK00067773 | Spot QC | 67773 | celeste.noreen | TITLE06935 | ORDER01418 | CLIENT00042 | 20th Century Fox
TASK00156868 | Spot QC | 156868 | adriana.amador | TITLE18097 | ORDER04657 | CLIENT00032 | Disney
TASK00057176 | QC | 57176 | laura.szot | TITLE05749 | ORDER01142 | CLIENT00047 | Fremantle
TASK00056800 | QC | 56800 | michelle.holcombe | TITLE05701 | ORDER01152 | CLIENT00047 | Fremantle
TASK00115636 | QC | 115636 | david.featherstone | TITLE12705 | ORDER03526 | CLIENT00047 | Fremantle
TASK00037941 | QC Spot Check File Matches Spec | 37941 | emma.klein | TITLE03777 | ORDER00821 | CLIENT00047 | Fremantle
TASK00068754 | QC | 68754 | michelle.holcombe | TITLE07045 | ORDER01450 | CLIENT00047 | Fremantle
TASK00035157 | Spot QC | 35157 | emma.klein | TITLE01359 | ORDER00294 | CLIENT00009 | Fox iTunes
TASK00131969 | Telenica1 QC Single pass | 131969 | adriana.amador | TITLE14877 | ORDER04167 | CLIENT00007 | Warner Brothers
TASK00050721 | Spot QC | 50721 | forest.robin | TITLE05015 | ORDER01036 | CLIENT00042 | 20th Century Fox
TASK00098767 | QC Deliverables | 98767 | chantal.beukman | TITLE10586 | ORDER02119 | CLIENT00007 | Warner Brothers
TASK00058395 | spot QC | 58395 | laura.szot | TITLE05892 | ORDER01168 | CLIENT00047 | Fremantle
TASK00091383 | QC: SD SINGLE PASS | 91383 | chantal.beukman | TITLE09672 | ORDER01932 | CLIENT00007 | Warner Brothers
TASK00141891 | QC | 141891 | vilma.rubio | TITLE16199 | ORDER04408 | CLIENT00047 | Fremantle
TASK00141899 | QC | 141899 | vilma.rubio | TITLE16200 | ORDER04408 | CLIENT00047 | Fremantle
TASK00059261 | QC | 59261 | vilma.rubio | TITLE05982 | ORDER01080 | CLIENT00047 | Fremantle
TASK00108990 | Spot QC | 108990 | johanna.mcgregor | TITLE11869 | ORDER02300 | CLIENT00042 | 20th Century Fox
TASK00061062 | spot QC | 61062 | laura.szot | TITLE06162 | ORDER01211 | CLIENT00047 | Fremantle
TASK00060703 | Technicolor UK | 60703 | leanna.marsh | TITLE06120 | ORDER00844 | CLIENT00042 | 20th Century Fox
TASK00005495 | Spot QC | 5495 | rita.carreon | TITLE00532 | ORDER00102 | CLIENT00042 | 20th Century Fox
TASK00005499 | QC HD Single Pass | 5499 | sarah.louth | TITLE00533 | ORDER00103 | CLIENT00033 | Max Post
TASK00048350 | Spot QC | 48350 | forest.robin | TITLE04799 | ORDER00974 | CLIENT00042 | 20th Century Fox
TASK00032584 | Spot QC | 32584 | forest.robin | TITLE03125 | ORDER00643 | CLIENT00042 | 20th Century Fox
TASK00056476 | Spot QC | 56476 | forest.robin | TITLE05671 | ORDER01042 | CLIENT00042 | 20th Century Fox
TASK00111479 | Commercial Blacks | 111479 | chantal.beukman | TITLE12102 | ORDER02344 | CLIENT00007 | Warner Brothers
TASK00111478 | Commercial Blacks | 111478 | chantal.beukman | TITLE12101 | ORDER02344 | CLIENT00007 | Warner Brothers
TASK00038352 | QC | 38352 | emma.klein | TITLE03817 | ORDER00837 | CLIENT00047 | Fremantle
TASK00050184 | QC | 50184 | laura.szot | TITLE04979 | ORDER01015 | CLIENT00047 | Fremantle
TASK00029096 | QC | 29096 | emma.klein | TITLE02790 | ORDER00653 | CLIENT00047 | Fremantle
TASK00038570 | QC | 38570 | emma.klein | TITLE03842 | ORDER00832 | CLIENT00047 | Fremantle
TASK00063114 | QC NTSC DBC | 63114 | johanna.mcgregor | TITLE06410 | ORDER01288 | CLIENT00042 | 20th Century Fox
TASK00063115 | QC PAL DBC | 63115 | johanna.mcgregor | TITLE06410 | ORDER01288 | CLIENT00042 | 20th Century Fox
TASK00056454 | Spot QC | 56454 | forest.robin | TITLE05669 | ORDER01043 | CLIENT00042 | 20th Century Fox
TASK00097839 | QC | 97839 | vilma.rubio | TITLE10489 | ORDER02104 | CLIENT00047 | Fremantle
TASK00097480 | QC | 97480 | vilma.rubio | TITLE10458 | ORDER02099 | CLIENT00047 | Fremantle
TASK00010475 | QC Primary Deliverable | 10475 | forest.robin | TITLE01059 | ORDER00248 | CLIENT00007 | Warner Brothers
TASK00125518 | QC | 125518 | vilma.rubio | TITLE14052 | ORDER03697 | CLIENT00047 | Fremantle
TASK00121500 | Spot QC | 121500 | johanna.mcgregor | TITLE13534 | ORDER03616 | CLIENT00042 | 20th Century Fox
TASK00121504 | Spot QC | 121504 | johanna.mcgregor | TITLE13536 | ORDER03616 | CLIENT00042 | 20th Century Fox
TASK00121508 | Spot QC | 121508 | johanna.mcgregor | TITLE13538 | ORDER03616 | CLIENT00042 | 20th Century Fox
TASK00031555 | QC | 31555 | emma.klein | TITLE03056 | ORDER00689 | CLIENT00047 | Fremantle
TASK00042459 | QC | 42459 | emma.klein | TITLE04214 | ORDER00819 | CLIENT00047 | Fremantle
TASK00019827 | Full Audio QC | 19827 | johanna.mcgregor | TITLE01927 | ORDER00428 | CLIENT00042 | 20th Century Fox
TASK00019828 | Spot QC for TDS CC file | 19828 | johanna.mcgregor | TITLE01927 | ORDER00428 | CLIENT00042 | 20th Century Fox
TASK00145290 | SpotQC | 145290 | forest.robin | TITLE16656 | ORDER04483 | CLIENT00042 | 20th Century Fox
TASK00097368 | QC | 97368 | vilma.rubio | TITLE10444 | ORDER02090 | CLIENT00047 | Fremantle
TASK00029112 | QC | 29112 | emma.klein | TITLE02792 | ORDER00653 | CLIENT00047 | Fremantle
TASK00059682 | QC | 59682 | vilma.rubio | TITLE06007 | ORDER01080 | CLIENT00047 | Fremantle
TASK00156908 | Spot QC | 156908 | adriana.amador | TITLE18101 | ORDER04657 | CLIENT00032 | Disney
TASK00067483 | Spot QC | 67483 | celeste.noreen | TITLE06904 | ORDER01417 | CLIENT00042 | 20th Century Fox
TASK00156573 | Spot QC | 156573 | adriana.amador | TITLE18070 | ORDER04655 | CLIENT00032 | Disney
TASK00059474 | Spot QC | 59474 | forest.robin | TITLE05995 | ORDER01219 | CLIENT00042 | 20th Century Fox
TASK00134788 | Spot QC CC Files | 134788 | leanna.marsh | TITLE15226 | ORDER04277 | CLIENT00042 | 20th Century Fox
TASK00076033 | VisionQC_QC_SR_Protection | 76033 | johanna.mcgregor | TITLE07899 | ORDER01581 | CLIENT00042 | 20th Century Fox
TASK00079473 | QC | 79473 | michelle.holcombe | TITLE08284 | ORDER01666 | CLIENT00047 | Fremantle
TASK00081343 | QC | 81343 | michelle.holcombe | TITLE08497 | ORDER01689 | CLIENT00047 | Fremantle
TASK00060253 | Spot QC | 60253 | forest.robin | TITLE06067 | ORDER01219 | CLIENT00042 | 20th Century Fox
TASK00117222 | spot QC | 117222 | vilma.rubio | TITLE12905 | ORDER01172 | CLIENT00047 | Fremantle
TASK00072019 | QC | 72019 | jennifer.olvey | TITLE07439 | ORDER01505 | CLIENT00047 | Fremantle
TASK00122980 | QC Sequence Verification | 122980 | vilma.rubio | TITLE13755 | ORDER03674 | CLIENT00047 | Fremantle
TASK00130713 | SpotQC | 130713 | forest.robin | TITLE14708 | ORDER03781 | CLIENT00042 | 20th Century Fox
TASK00040215 | Spot QC | 40215 | forest.robin | TITLE04010 | ORDER00854 | CLIENT00042 | 20th Century Fox
TASK00037471 | QC Spot Check | 37471 | emma.klein | TITLE03722 | ORDER00824 | CLIENT00047 | Fremantle
TASK00113609 | QC | 113609 | jill.kuzma | TITLE12428 | ORDER03457 | CLIENT00007 | Warner Brothers
TASK00051775 | HD TIME TAILOR | 51775 | gena | TITLE01603 | ORDER00162 | CLIENT00019 | Lionsgate
TASK00059165 | QC | 59165 | vilma.rubio | TITLE05970 | ORDER01080 | CLIENT00047 | Fremantle
TASK00117634 | QC | 117634 | lisa.mcguire | TITLE12958 | ORDER03605 | CLIENT00047 | Fremantle
TASK00057348 | Spot QC | 57348 | forest.robin | TITLE05759 | ORDER00436 | CLIENT00042 | 20th Century Fox
TASK00056696 | Spot QC | 56696 | forest.robin | TITLE05691 | ORDER01041 | CLIENT00042 | 20th Century Fox
TASK00098525 | QC | 98525 | gena | TITLE10558 | ORDER02116 | CLIENT00019 | Lionsgate
TASK00120860 | Spot QC | 120860 | johanna.mcgregor | TITLE13443 | ORDER03614 | CLIENT00042 | 20th Century Fox
TASK00044195 | QC | 44195 | emma.klein | TITLE04399 | ORDER00837 | CLIENT00047 | Fremantle
TASK00087492 | QC | 87492 | vilma.rubio | TITLE09231 | ORDER01444 | CLIENT00047 | Fremantle
TASK00103545 | QC | 103545 | michelle.holcombe | TITLE11161 | ORDER02209 | CLIENT00047 | Fremantle
TASK00043576 | Telenica1 QC Single pass | 43576 | jennifer.olvey | TITLE04325 | ORDER00916 | CLIENT00007 | Warner Brothers
TASK00121907 | QC | 121907 | michelle.holcombe | TITLE13599 | ORDER02127 | CLIENT00047 | Fremantle
TASK00030813 | Spot QC | 30813 | forest.robin | TITLE02971 | ORDER00435 | CLIENT00042 | 20th Century Fox
TASK00144516 | QC | 144516 | vilma.rubio | TITLE16562 | ORDER04471 | CLIENT00047 | Fremantle
TASK00034015 | Spot QC | 34015 | forest.robin | TITLE03294 | ORDER00434 | CLIENT00042 | 20th Century Fox
TASK00067631 | Spot QC | 67631 | celeste.noreen | TITLE06919 | ORDER01418 | CLIENT00042 | 20th Century Fox
TASK00038720 | QC | 38720 | emma.klein | TITLE03857 | ORDER00839 | CLIENT00047 | Fremantle
TASK00106214 | Telenica1 QC Single pass | 106214 | chantal.beukman | TITLE11535 | ORDER02249 | CLIENT00007 | Warner Brothers
TASK00039386 | QC | 39386 | emma.klein | TITLE03932 | ORDER00849 | CLIENT00047 | Fremantle
TASK00038032 | QC Spot Check File Matches Spec | 38032 | emma.klein | TITLE03784 | ORDER00821 | CLIENT00047 | Fremantle
TASK00129664 | spot QC | 129664 | adriana.amador | TITLE14582 | ORDER03825 | CLIENT00007 | Warner Brothers
TASK00103435 | QC | 103435 | michelle.holcombe | TITLE11145 | ORDER02209 | CLIENT00047 | Fremantle
TASK00047818 | Spot QC | 47818 | forest.robin | TITLE04757 | ORDER00974 | CLIENT00042 | 20th Century Fox
TASK00056718 | Spot QC | 56718 | forest.robin | TITLE05693 | ORDER01041 | CLIENT00042 | 20th Century Fox
TASK00126327 | spot QC | 126327 | chantal.beukman | TITLE14173 | ORDER03707 | CLIENT00007 | Warner Brothers
TASK00134777 | Spot QC CC Files | 134777 | leanna.marsh | TITLE15225 | ORDER04277 | CLIENT00042 | 20th Century Fox
TASK00134776 | Spot QC - Video Files | 134776 | leanna.marsh | TITLE15225 | ORDER04277 | CLIENT00042 | 20th Century Fox
TASK00043005 | QC | 43005 | emma.klein | TITLE04273 | ORDER00905 | CLIENT00047 | Fremantle
TASK00115920 | spot QC | 115920 | sarah.louth | TITLE12736 | ORDER03529 | CLIENT00047 | Fremantle
TASK00072426 | Spot QC | 72426 | forest.robin | TITLE07482 | ORDER01048 | CLIENT00042 | 20th Century Fox
TASK00141915 | QC | 141915 | vilma.rubio | TITLE16202 | ORDER04408 | CLIENT00047 | Fremantle
TASK00148892 | Preview | 148892 | forest.robin | TITLE17166 | ORDER04516 | CLIENT00173 | iTunes
TASK00043875 | Telenica1 QC Single pass | 43875 | jennifer.olvey | TITLE04361 | ORDER00920 | CLIENT00007 | Warner Brothers
TASK00069114 | Spot QC | 69114 | celeste.noreen | TITLE05406 | ORDER01106 | CLIENT00042 | 20th Century Fox
TASK00061347 | QC Spot Check File Matches Spec | 61347 | laura.szot | TITLE06193 | ORDER01212 | CLIENT00047 | Fremantle
TASK00133861 | Spot QC | 133861 | forest.robin | TITLE15138 | ORDER04240 | CLIENT00042 | 20th Century Fox
TASK00062692 | QC PAL DBC | 62692 | johanna.mcgregor | TITLE06340 | ORDER01263 | CLIENT00042 | 20th Century Fox
TASK00062691 | QC NTSC DBC | 62691 | johanna.mcgregor | TITLE06340 | ORDER01263 | CLIENT00042 | 20th Century Fox
TASK00051127 | QC: SD SINGLE PASS | 51127 | adriana.amador | TITLE05061 | ORDER01045 | CLIENT00007 | Warner Brothers
TASK00019212 | QC | 19212 | jill.kuzma | TITLE01878 | ORDER00372 | CLIENT00007 | Warner Brothers
TASK00108488 | spot QC | 108488 | michelle.holcombe | TITLE11795 | ORDER02292 | CLIENT00047 | Fremantle
TASK00050655 | Spot QC | 50655 | forest.robin | TITLE05009 | ORDER01036 | CLIENT00042 | 20th Century Fox
TASK00127855 | QC | 127855 | vilma.rubio | TITLE14355 | ORDER03765 | CLIENT00047 | Fremantle
TASK00038172 | QC | 38172 | emma.klein | TITLE03796 | ORDER00832 | CLIENT00047 | Fremantle
TASK00023321 | Spot QC | 23321 | celeste.noreen | TITLE02186 | ORDER00522 | CLIENT00042 | 20th Century Fox
TASK00039070 | QC | 39070 | emma.klein | TITLE03892 | ORDER00841 | CLIENT00047 | Fremantle
TASK00073482 | Spot QC | 73482 | laura.szot | TITLE07602 | ORDER01214 | CLIENT00047 | Fremantle
TASK00068525 | QC | 68525 | michelle.holcombe | TITLE07021 | ORDER01449 | CLIENT00047 | Fremantle
TASK00073050 | Spot QC | 73050 | forest.robin | TITLE07549 | ORDER01047 | CLIENT00042 | 20th Century Fox
TASK00085828 | BQ Video Spot QC | 85828 | forest.robin | TITLE09008 | ORDER01794 | CLIENT00042 | 20th Century Fox
TASK00085829 | BQ Audio Spot QC | 85829 | forest.robin | TITLE09008 | ORDER01794 | CLIENT00042 | 20th Century Fox
TASK00037993 | QC Spot Check File Matches Spec | 37993 | emma.klein | TITLE03781 | ORDER00821 | CLIENT00047 | Fremantle
TASK00127700 | QC | 127700 | vilma.rubio | TITLE14336 | ORDER03765 | CLIENT00047 | Fremantle
TASK00127709 | QC | 127709 | vilma.rubio | TITLE14337 | ORDER03765 | CLIENT00047 | Fremantle
TASK00148918 | Audio QC 2 | 148918 | forest.robin | TITLE17166 | ORDER04516 | CLIENT00173 | iTunes
TASK00148919 | Audio QC 1 | 148919 | forest.robin | TITLE17166 | ORDER04516 | CLIENT00173 | iTunes
TASK00148912 | Subitlte QC 9 | 148912 | forest.robin | TITLE17166 | ORDER04516 | CLIENT00173 | iTunes
TASK00148913 | Subtitle QC 7 | 148913 | forest.robin | TITLE17166 | ORDER04516 | CLIENT00173 | iTunes
TASK00148911 | Subtitle QC 4 | 148911 | forest.robin | TITLE17166 | ORDER04516 | CLIENT00173 | iTunes
TASK00148916 | Subtitle QC 11 | 148916 | forest.robin | TITLE17166 | ORDER04516 | CLIENT00173 | iTunes
TASK00148917 | Subtitle QC 12 | 148917 | forest.robin | TITLE17166 | ORDER04516 | CLIENT00173 | iTunes
TASK00148914 | Subtitle QC 8 | 148914 | forest.robin | TITLE17166 | ORDER04516 | CLIENT00173 | iTunes
TASK00148915 | Subtitle QC 10 | 148915 | forest.robin | TITLE17166 | ORDER04516 | CLIENT00173 | iTunes
TASK00133488 | QC Sequence Verification | 133488 | vilma.rubio | TITLE15084 | ORDER04225 | CLIENT00047 | Fremantle
TASK00074394 | QC | 74394 | vilma.rubio | TITLE07706 | ORDER01550 | CLIENT00047 | Fremantle
TASK00061686 | Spot QC | 61686 | forest.robin | TITLE06138 | ORDER01182 | CLIENT00042 | 20th Century Fox
TASK00107365 | QC | 107365 | laura.szot | TITLE08571 | ORDER01484 | CLIENT00047 | Fremantle
TASK00039752 | Spot QC | 39752 | forest.robin | TITLE03979 | ORDER00854 | CLIENT00042 | 20th Century Fox
TASK00019696 | QC | 19696 | jill.kuzma | TITLE01905 | ORDER00430 | CLIENT00007 | Warner Brothers
TASK00059253 | QC | 59253 | vilma.rubio | TITLE05981 | ORDER01080 | CLIENT00047 | Fremantle
TASK00152119 | spot QC | 152119 | vilma.rubio | TITLE17573 | ORDER02874 | CLIENT00047 | Fremantle
TASK00152111 | spot QC | 152111 | vilma.rubio | TITLE17572 | ORDER02874 | CLIENT00047 | Fremantle
TASK00153864 | Spot QC | 153864 | adriana.amador | TITLE17785 | ORDER04581 | CLIENT00032 | Disney
TASK00038400 | QC | 38400 | emma.klein | TITLE03823 | ORDER00837 | CLIENT00047 | Fremantle
TASK00038408 | QC | 38408 | emma.klein | TITLE03824 | ORDER00837 | CLIENT00047 | Fremantle
